img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1366231979495153664.jpg,if guns were as regulated as cars,There are no people in the image.,a poster that says if guns were as regulated as cars,gun_control
1367139019457503233.jpg,"gun controllers are easily rejected but they will return, with dumb arguments",There are no people in the image.,"gun controllers are easily rejected but they will return, with dumb arguments",gun_control
1374721160026406914.jpg,don't mind the manequin in full wish com with the air gun in the hall,There are two people in the image.,"a woman's face with the text, don't mind the manequin in full wish com with the air force hall packed with kids' alphabet stickers that stick to the floor",gun_control
1352316543640584193.jpg,Racism and Gun Control,There are two people in the image.,a poster with the words goa racism and gun control,gun_control
1375804657205977089.jpg,austin's policy michigan's simple take cold dead hands for governor,There are two people in the image.,a man holding a gun in front of a podium with a quote from austin for governor,gun_control
1340783552041005056.jpg,this holiday season after the facts,There are no people in the image.,a poster that says this holiday season is all about the facts,gun_control
1340823959219138567.jpg,larson,There are two people in the image.,a text with a picture of a gun and a story about it,gun_control
1333088093608554498.jpg,Gun laws save lives,There is one person in the image.,a man wearing a shirt that says gun laws save lives is smiling in front of a white background.,gun_control
1348663586592317449.jpg,don't much can be done about gun control,There are two people in the image.,a cartoon of two men reading a newspaper,gun_control
1374373353176264721.jpg,bomber's assassination tweets,There are four people in the image.,a series of tweets from the washington times,gun_control
1372910857064173577.jpg,flintlocks,There are no people in the image.,a black and white illustration of different types of firearms,gun_control
1336734114842636294.jpg,"Together, we can save lives",There are two people in the image.,"a flyer for a facebook live event with two women and the words together, we can save lives",gun_control
1370077695799857152.jpg,background checks show a virtual march,There is one person in the image.,a woman in a pink shirt is talking to the camera,gun_control
1374212471108509699.jpg,man being escorted by police,There are two people in the image.,The image shows a man being handcuffed by two police officers in the middle of a city street. The man is wearing a t-shirt and has his hands tied behind his back.,gun_control
1370779951012663296.jpg,snowdrops,There are no people in the image.,snowdrops are a flowering plant that can be found in the woods during the spring season. Snowdrops are known for their bright white flowers and their ability to attract pollinators. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the woods during the spring season. Snowdrops are a common sight in the,gun_control
