img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1254594322407854080.jpg,96 percent of women have had abortions,There are four people in the image.,"The image depicts a number of pie charts, each representing a different percentage of the population. The pie charts are arranged in a circle, with a total of 65% of the population represented by the red pie chart. The red pie chart represents the highest percentage of the population, while the blue pie chart represents the lowest percentage. The red pie chart represents the lowest percentage of the population, while the blue pie chart represents the highest percentage of the population. The red pie chart represents the average percentage of the population, while the blue pie chart represents the average percentage of the population.",abortion
1030088429651091456.jpg,every abortion is wrong no matter what method is used every child must be protected,There are two people in the image.,a pregnant woman holding a red heart with a quote from franklin vaughan,abortion
1070056426545004547.jpg,nebulizer,There is one person in the image.,"The image shows an elderly woman wearing a mask with an oxygen tank attached to her face. The mask is used to provide oxygen to the patient, which can help improve their health and quality of life.",abortion
1071428088762851328.jpg,Abortion on demand and without apology,There are several people in the image.,a woman holding a sign that says abortion on demand and without apology,abortion
1124701947510968322.jpg,attorney's school exemption makes medical exceptions more difficult to obtain,There are no people in the image.,an image of a baby with the text attorney's school exemption makes medical exceptions more difficult to obtain,abortion
1268925809726754816.jpg,A man is posing for a photo in front of a brick wall.,There is one person in the image.,The image shows a man wearing a black hoodie and standing in front of a brick wall.,abortion
1230877084857380864.jpg,john mccain,There is one person in the image.,"The image shows a man in a suit standing at a podium and giving a speech. He is wearing a tie and a suit, which indicates that he is dressed appropriately for the occasion. There are two microphones on either side of the podium, indicating that he is giving a speech or making a presentation.",abortion
1038068554397089792.jpg,Pro-life laws can and do reduce the abortion rate,There are no people in the image.,pro-life laws can and do reduce the abortion rate,abortion
1194314211142381569.jpg,audrey thorne,There are two people in the image.,a poster with a woman sitting on a bench looking at the sky,abortion
1167146907111755776.jpg,Yes You Can!,There are two people in the image.,"The image depicts a pregnant woman posing in front of a blue background with the words ""yes you can"" written on it. The image is part of an advertisement for the March for Life campaign, which encourages people to live a healthy lifestyle.",abortion
1027871783351975936.jpg,this is where you say don't want a baby,There are no people in the image.,this is where you say don't want a baby,abortion
1258909664474955776.jpg,Creighton Students for Life We are the Proud Generation,There are four people in the image.,"The image depicts a group of students holding a banner that reads ""Creston Students for Life"". They are holding the banner in support of their cause.",abortion
